year,ahe,bachelor,female,age
1996,9.134614944,1,1,33
1996,13.31360912,1,0,29
1996,8.653845787,1,0,28
1996,22.02797127,0,0,30
1996,7.5,0,1,28
1996,25.64102554,0,0,27
1996,8.571428299,1,0,28
1996,19.23077011,1,1,34
1996,31.25,1,0,31
1996,12.23776245,1,1,29
1996,7.5,0,1,32
1996,28.84615326,1,0,27
1996,20,1,1,26
1996,11.53846169,1,0,26
1996,8.547008514,1,1,25
1996,9.401709557,1,0,25
1996,25,1,1,32
1996,4.807692528,0,0,33
1996,26.53846169,1,1,33
1996,8.333333015,1,0,34
1996,9.615385056,0,1,31
1996,12.01923084,1,1,26
1996,17.52136803,0,0,26
1996,10.57692337,1,0,29
1996,29.72027969,1,0,34
1996,4.75,0,1,25
1996,15.08846188,0,1,25
1996,25.27472496,0,0,27
1996,17.67151833,0,0,34
1996,13.18681335,1,1,33
1996,8.653845787,1,1,33
1996,15.909091,0,0,27
1996,11.44688606,1,1,34
1996,12.01923084,0,0,29
1996,12.98076916,0,0,25
1996,4.5,0,0,33
1996,13.94230747,1,1,30
1996,25,1,1,27
1996,14.42307663,0,1,33
1996,10.57692337,0,0,33
1996,4.166666508,1,0,33
1996,20.36713219,1,0,33
1996,12.5,1,0,32
1996,10.09615421,0,1,28
1996,21.15384674,1,0,27
1996,10.09615421,0,0,33
1996,25,0,0,30
1996,24.03846169,0,1,29
1996,14.28571415,0,0,33
1996,9.134614944,1,0,25
1996,9.615385056,0,0,28
1996,6.730769157,0,0,30
1996,17.58241844,1,1,31
1996,26.44230843,1,0,27
1996,6.993007183,1,1,28
1996,6.25,0,0,34
1996,11.53846169,0,0,28
1996,19.23077011,1,1,27
1996,16.66666603,0,0,31
1996,18.26922989,0,1,31
1996,26.92307663,1,0,29
1996,21.63461494,1,1,34
1996,14.42307663,0,0,30
1996,31.25,1,1,33
1996,9.890110016,0,0,32
1996,29.32692337,1,0,29
1996,8.461538315,1,0,28
1996,24.03846169,0,0,30
1996,11,1,1,26
1996,12.5714283,1,1,26
1996,32.69230652,1,0,33
1996,24,1,1,32
1996,5.288461685,1,1,28
1996,15.38461494,0,1,26
1996,15.38461494,0,0,27
1996,13,0,0,34
1996,18.53146935,1,1,29
1996,20.97902107,1,0,32
1996,9.615385056,1,0,27
1996,11.05769253,0,1,28
1996,6.730769157,0,1,26
1996,18.68131828,1,1,27
1996,38.46154022,1,0,29
1996,15.38461494,1,1,30
1996,14.42307663,1,0,32
1996,16.48351669,0,1,26
1996,25.64102554,0,0,32
1996,9.79020977,0,0,29
1996,12.30769253,1,1,32
1996,9.300699234,1,0,34
1996,9.615385056,0,0,32
1996,13.94230747,0,0,27
1996,24.72527504,1,1,31
1996,11.25,1,0,27
1996,9.615385056,1,1,29
1996,12.5,0,1,31
1996,21.60000038,1,1,27
1996,8.653845787,0,0,34
1996,2.56410265,1,1,25
1996,24.03846169,1,1,25
1996,18.75,0,0,28
1996,10.09615421,0,1,28
1996,14.23076916,1,1,31
1996,11.53846169,1,0,32
1996,14.28571415,1,1,27
1996,11.43451118,0,1,31
1996,10.6275301,0,1,27
1996,25,1,1,33
1996,12.01923084,1,0,34
1996,5.494505405,0,1,32
1996,19.23077011,1,0,29
1996,4.995005131,1,1,31
1996,10.0427351,1,1,30
1996,12.01923084,1,1,25
1996,28.36538506,0,1,28
1996,13.46153831,1,1,25
1996,13.46153831,0,0,27
1996,7.692307472,0,1,31
1996,26.44230843,1,0,32
1996,28.84615326,1,0,33
1996,21.63461494,1,0,34
1996,16.82692337,0,1,31
1996,12,1,0,31
1996,20.19230843,0,0,30
1996,12.14574909,0,1,31
1996,28.84615326,1,0,30
1996,28.84615326,1,1,31
1996,23.50427437,0,0,32
1996,6.490384579,1,0,29
1996,28.84615326,0,0,32
1996,12.63736248,0,0,26
1996,8.974358559,0,0,25
1996,15.38461494,0,0,30
1996,10.30219746,0,1,32
1996,9.615385056,0,0,29
1996,5.494505405,0,1,28
1996,18.46153831,1,0,32
1996,10,0,0,31
1996,10.98901081,1,1,28
1996,9.615385056,1,1,27
1996,11.5,0,1,33
1996,12.82051277,1,1,34
1996,21.39422989,0,0,29
1996,15.625,0,0,34
1996,24.03846169,1,0,30
1996,9.375,1,1,29
1996,12.98076916,0,0,33
1996,20.67307663,0,0,30
1996,10.09615421,0,1,29
1996,17.52211571,0,0,28
1996,13.46153831,0,0,33
1996,6.923077106,0,1,26
1996,16.34615326,0,0,34
1996,11,0,0,25
1996,28.84615326,0,0,28
1996,9.615385056,0,1,30
1996,12.98076916,0,0,28
1996,15.18218613,0,1,31
1996,12.01923084,0,1,30
1996,10,0,0,34
1996,4.807692528,0,1,34
1996,9.615385056,0,1,27
1996,7.692307472,0,1,34
1996,2.551020384,0,0,31
1996,6.730769157,0,0,25
1996,9.615385056,1,1,29
1996,18.4375,1,0,32
1996,10.75986862,0,1,28
1996,26.92307663,0,0,33
1996,23.07692337,1,1,33
1996,5.288461685,0,1,28
1996,51.28205109,1,1,33
1996,16.19433212,1,0,31
1996,6.25,1,1,32
1996,11.05769253,0,1,25
1996,14.5,1,1,25
1996,9.615385056,1,1,25
1996,14.42307663,0,0,31
1996,10.76923084,0,0,34
1996,12.2824173,1,1,30
1996,14.67033005,1,0,26
1996,25,0,0,31
1996,13.46153831,0,0,33
1996,40.76922989,1,0,30
1996,19.23077011,0,0,28
1996,13.46153831,0,0,30
1996,12.2824173,1,1,30
1996,12.01923084,1,1,26
1996,15.76923084,1,1,32
1996,23.07692337,1,0,29
1996,17.30769157,1,0,28
1996,13.94230747,0,1,33
1996,12.01923084,0,1,25
1996,12.98076916,1,1,27
1996,14.28571415,1,1,26
1996,8.17307663,1,1,27
1996,12.98076916,0,0,32
1996,18.26922989,1,1,33
1996,10.1214571,0,0,25
1996,9.245562553,1,0,30
1996,11.53942299,0,1,33
1996,15.5,1,1,25
1996,13.94230747,1,0,30
1996,21.15384674,0,0,34
1996,3.846153736,0,0,34
1996,6.730769157,0,1,28
1996,14.10256386,0,0,30
1996,13.46153831,0,1,29
1996,22.11538506,1,1,31
1996,13.73626328,1,0,33
1996,10.25,0,0,31
1996,4.807692528,0,1,29
1996,6.410256386,1,0,25
1996,14.42307663,1,0,27
1996,12.5,1,1,25
1996,12.01923084,0,1,30
1996,9.615385056,1,0,29
1996,5.769230843,0,1,34
1996,8.605769157,0,1,32
1996,14.42307663,0,0,33
1996,6.868131638,0,0,25
1996,10.50983906,0,1,31
1996,21.63461494,1,0,34
1996,19.23077011,0,0,31
1996,4.326922894,0,1,27
1996,26.44230843,1,1,31
1996,7.307692528,0,1,26
1996,8.75,0,0,25
1996,16.66666603,1,0,31
1996,13.46153831,0,0,30
1996,13.46153831,1,0,28
1996,8.547008514,0,0,25
1996,13.96520138,0,0,34
1996,6.490384579,1,0,31
1996,10.97142887,0,1,32
1996,9.109312057,0,1,34
1996,7.8125,0,0,31
1996,5.050505161,0,0,30
1996,10.94999981,0,1,32
1996,10.39999962,0,0,28
1996,12.30769253,1,0,32
1996,9,0,1,33
1996,11.77884579,1,1,26
1996,11.05769253,0,0,33
1996,7.569230556,0,1,30
1996,6.410256386,0,0,29
1996,4.423077106,1,0,27
1996,16.82692337,1,1,28
1996,15.86538506,1,1,26
1996,15.86538506,1,1,26
1996,17.30769157,1,1,27
1996,11.53846169,0,0,26
1996,7.692307472,0,0,25
1996,14.42307663,0,0,29
1996,9.166666985,0,0,32
1996,9.285714149,0,0,34
1996,5.952381134,1,1,25
1996,12.30769253,0,1,29
1996,32.21154022,0,0,32
1996,12.01923084,0,0,28
1996,7.692307472,0,0,29
1996,12.5,1,1,27
1996,12.01923084,0,0,28
1996,14.42307663,1,1,28
1996,8.699633598,1,0,25
1996,12.98076916,1,1,25
1996,4.326922894,0,1,28
1996,12.98076916,0,0,28
1996,23.07692337,1,1,29
1996,20.03205109,1,0,28
1996,19.23077011,0,0,25
1996,15.38461494,0,0,32
1996,11.72607899,0,1,32
1996,11.88942337,0,1,29
1996,4.846153736,0,1,26
1996,5.668015957,0,1,30
1996,6.372549057,0,1,31
1996,21.63461494,1,1,28
1996,6.25,1,0,31
1996,27.47252655,0,0,27
1996,8.653845787,0,1,32
1996,7.211538315,1,0,27
1996,14.42307663,0,0,28
1996,11.05769253,0,1,25
1996,27.2435894,1,0,28
1996,15.625,1,1,26
1996,4.75,0,1,33
1996,18.75,1,0,34
1996,12.5,0,1,32
1996,16.34615326,0,0,30
1996,18.26922989,0,0,32
1996,8.653845787,0,1,30
1996,18.46153831,1,0,34
1996,8.17307663,1,1,26
1996,23.55769157,0,0,32
1996,10.91476059,1,1,28
1996,22.43589783,1,0,32
1996,13.46153831,1,1,26
1996,11.29807663,0,0,31
1996,7,1,1,34
1996,26.92307663,1,0,34
1996,13.90625,1,1,25
1996,19.52499962,0,0,27
1996,17.09401703,1,1,33
1996,10.57692337,0,0,31
1996,9.615385056,1,1,29
1996,25,1,0,31
1996,13.46153831,0,1,30
1996,13.1766386,0,0,33
1996,15.625,1,0,32
1996,14.42307663,0,0,27
1996,7.692307472,1,1,29
1996,8.390625,0,0,27
1996,17.20647812,1,0,30
1996,4.807692528,0,1,32
1996,6.730769157,0,0,32
1996,13.24786282,0,0,30
1996,9.615385056,1,0,29
1996,10.09615421,0,1,27
1996,16.82692337,0,0,33
1996,16.82692337,0,0,31
1996,16.66666603,1,0,29
1996,24.03846169,1,0,30
1996,1.923076868,0,1,29
1996,14.42307663,0,0,28
1996,21.15384674,0,0,26
1996,18.50961494,1,1,26
1996,21.97802162,1,0,31
1996,6.25,0,1,26
1996,10,0,0,27
1996,24.03846169,1,0,29
1996,17.09401703,1,1,25
1996,21.63461494,1,1,28
1996,12.01923084,0,1,28
1996,5.448718071,0,0,32
1996,6.25,0,1,25
1996,3.90625,0,1,25
1996,19.23077011,0,0,28
1996,15.38461494,0,1,27
1996,10,0,1,34
1996,6.593406677,1,0,32
1996,10.76923084,0,0,34
1996,35.66433716,1,0,32
1996,9.615385056,0,1,34
1996,9,0,1,29
1996,18.26922989,1,0,25
1996,24.03846169,0,0,31
1996,11.1336031,0,1,29
1996,4.807692528,0,1,33
1996,8.653845787,0,0,25
1996,29.9145298,1,1,34
1996,10.57692337,0,1,26
1996,9.615385056,0,0,25
1996,45.29914474,1,0,33
1996,24.94802475,1,1,32
1996,7.451922894,1,0,28
1996,14.42307663,1,1,34
1996,14.42307663,0,0,32
1996,26.04166603,0,0,30
1996,15.625,0,0,26
1996,1.71875,1,0,27
